Height,Weight,BMI,Fat or Not
162.5293285,68.47122508,25.9,0
180.3448201,95.20604236,29.3,1
173.0748994,78.9831312,26.4,1
173.7243166,81.57776739,27,1
172.9643982,76.075801,25.4,0
173.0770995,83.01345143,27.7,1
174.9046294,76.89651737,25.1,0
168.0180855,78.65381982,27.9,1
168.1633214,82.03607918,29,1
171.2775853,83.22400585,28.4,1
176.4566093,93.41401823,30,1
179.1102836,83.33779828,26,0
181.1994751,91.58934036,27.9,1
180.3449397,98.01364839,30.1,1
168.1539632,72.28586109,25.6,0
184.2599999,95.3906688,28.1,1
171.3975535,81.00605451,27.6,1
165.9900428,66.54866104,24.2,0
179.9439185,88.86032426,27.4,1
177.6437272,77.17725796,24.5,0
164.4391313,76.9406141,28.5,1
176.0433433,89.9676615,29,1
174.8496957,81.59080132,26.7,1
157.3208011,66.78625238,27,1
174.2270723,80.26496649,26.4,1
165.655182,84.11237569,30.7,1
163.4074662,80.49605546,30.1,1
174.622223,77.01926413,25.3,0
184.1237247,90.05972707,26.6,1
170.7741845,92.2223761,31.6,1
170.8495563,87.62706245,30,1
165.4010009,80.78682322,29.5,1
168.3075629,73.82294032,26.1,1
171.9622663,72.23878032,24.4,0
166.4479678,78.05637732,28.2,1
177.4671833,91.53607374,29.1,1
173.9439634,77.25729234,25.5,0
183.4234669,93.14728376,27.7,1
173.176013,77.00125537,25.7,0
182.8322646,90.9012746,27.2,1
167.8054473,80.9927229,28.8,1
169.306657,76.19683887,26.6,1
171.7025375,80.61969424,27.3,1
173.344698,87.65425125,29.2,1
164.6138985,73.64151501,27.2,1
171.4302344,83.1672673,28.3,1
173.179056,82.11160785,27.4,1
176.6655976,95.63346893,30.6,1
168.6617142,75.08775469,26.4,1
169.1440791,88.95621306,31.1,1
182.7171519,91.63103184,27.4,1
173.449086,77.2850805,25.7,0
177.686846,91.58643324,29,1
182.501868,87.70384789,26.3,1
167.0189665,81.56720617,29.2,1
170.2609043,70.97049206,24.5,0
194.8429805,106.5920267,28.1,1
184.3306483,104.5626009,30.8,1
177.1111644,92.46968481,29.5,1
184.910029,98.9643522,28.9,1
184.2499593,100.9828471,29.7,1
183.6286482,94.54642444,28,1
170.823445,81.98629478,28.1,1
192.8989294,105.1812918,28.3,1
168.4432291,77.36682907,27.3,1
180.7363759,85.38388041,26.1,1
180.8281938,88.91679329,27.2,1
183.3816805,97.32588853,28.9,1
190.8576864,101.6436605,27.9,1
163.6052846,71.91809401,26.9,1
164.4254379,75.51070961,27.9,1
161.0730513,72.62612952,28,1
172.3356097,79.8968863,26.9,1
167.4667335,79.13165293,28.2,1
180.2550381,87.93945524,27.1,1
171.6550981,84.80344975,28.8,1
174.2167469,78.7282522,25.9,0
178.6248737,87.68551488,27.5,1
183.8819802,94.52902902,28,1
179.884976,93.4389922,28.9,1
167.3943852,78.26541088,27.9,1
189.9802526,105.503584,29.2,1
171.9095343,80.38101837,27.2,1
170.5761454,79.6583629,27.4,1
182.3080967,96.42907134,29,1
164.2496891,75.72299501,28.1,1
173.0318316,89.07683234,29.8,1
169.6387952,75.02550667,26.1,1
169.6868586,80.07520118,27.8,1
172.4304751,79.20727197,26.6,1
175.7008854,88.54309719,28.7,1
178.3713053,93.28092444,29.3,1
164.7337299,71.81017796,26.5,1
172.2655769,76.68072939,25.8,0
161.1382286,61.52193918,23.7,0
182.4950245,98.93762789,29.7,1
169.4893071,70.70273982,24.6,0
182.7994964,91.39599882,27.4,1
193.0942226,106.9959459,28.7,1
181.5492973,88.61343202,26.9,1
171.1193139,80.10710367,27.4,1
179.2103192,90.00464789,28,1
177.4624373,84.22535601,26.7,1
172.5868279,80.42983211,27,1
188.2255795,97.85020567,27.6,1
175.6863042,84.81742417,27.5,1
169.0553606,77.8176346,27.2,1
169.4220767,78.38540095,27.3,1
170.805005,76.31759043,26.2,1
175.3905191,74.2950063,24.2,0
179.5087778,86.17842821,26.7,1
166.3674476,71.14283524,25.7,0
165.575541,78.27958395,28.6,1
171.6230832,76.67300816,26,0
187.4910797,104.9317497,29.9,1
181.8806731,93.99114594,28.4,1
172.0208631,78.07381959,26.4,1
173.3070752,90.62483356,30.2,1
167.4607311,76.23147946,27.2,1
181.7331791,89.71411102,27.2,1
175.677528,89.29356689,28.9,1
174.2380547,81.73323361,26.9,1
180.4860777,85.77506231,26.3,1
161.6559113,71.84703732,27.5,1
180.8034367,94.74951596,29,1
167.9668299,84.87125601,30.1,1
165.2457277,71.46595533,26.2,1
172.9520909,82.37843311,27.5,1
180.3225855,92.85563637,28.6,1
188.5217842,104.8209478,29.5,1
176.0908802,84.47094313,27.2,1
164.9256092,82.12873905,30.2,1
173.6009795,90.21359624,29.9,1
180.1599777,92.23150259,28.4,1
156.1536354,73.02891252,29.9,1
173.9666643,86.0801278,28.4,1
183.0067203,90.79493356,27.1,1
184.2050343,100.617982,29.7,1
180.9341349,97.07943229,29.7,1
183.5381526,91.47456762,27.2,1
171.6152013,84.89210594,28.8,1
183.5597218,89.1281029,26.5,1
159.0046299,68.80757537,27.2,1
168.2405507,75.87189583,26.8,1
176.912111,90.17854694,28.8,1
175.9862404,81.08369524,26.2,1
179.642208,87.77290345,27.2,1
174.824682,89.67705442,29.3,1
167.6766477,83.65615034,29.8,1
168.6938004,70.38311642,24.7,0
169.203686,73.01224032,25.5,0
172.8084473,85.75259034,28.7,1
179.076091,78.45159959,24.5,0
175.6606329,88.84138635,28.8,1
179.8193574,97.84419741,30.3,1
165.5937179,75.60425084,27.6,1
189.9557144,108.600609,30.1,1
180.509942,83.5733541,25.6,0
176.1088624,90.69564213,29.2,1
177.543978,86.80826807,27.5,1
163.6399922,76.69360608,28.6,1
172.344412,88.31951134,29.7,1
171.5746365,83.11407397,28.2,1
189.909315,95.40585429,26.5,1
181.4041228,89.81518544,27.3,1
170.4856748,78.30570993,26.9,1
177.4433533,89.37453796,28.4,1
173.814266,86.39719274,28.6,1
172.5510458,83.69863179,28.1,1
173.9781716,81.60082385,27,1
165.7201243,72.33706113,26.3,1
178.2707942,89.74354063,28.2,1
180.6044982,98.53496834,30.2,1
173.8568495,85.2187873,28.2,1
166.1682651,80.20938059,29,1
171.9600018,83.96743859,28.4,1
188.5265802,101.2734877,28.5,1
180.7648045,93.85169243,28.7,1
170.7661606,77.55870322,26.6,1
172.4166203,79.46614422,26.7,1
171.1359937,78.59881887,26.8,1
174.6535672,82.14329864,26.9,1
182.1313922,91.88617156,27.7,1
176.2277268,90.63533787,29.2,1
187.2399802,101.367221,28.9,1
176.4115756,99.43841574,32,1
179.7971761,95.78960585,29.6,1
182.2918979,91.06529841,27.4,1
176.1323731,94.69831079,30.5,1
165.8265048,73.20638626,26.6,1
180.1414848,94.25666422,29,1
174.2355232,82.00963166,27,1
174.2536429,80.18842458,26.4,1
176.4760101,88.25567732,28.3,1
167.4644764,73.92672639,26.4,1
174.0492971,78.58079692,25.9,0
187.7799753,97.78686413,27.7,1
180.8427621,95.29910612,29.1,1
169.0537306,83.91942136,29.4,1
182.2253816,85.24505914,25.7,0
177.1518665,85.34291374,27.2,1
169.5466615,81.42495107,28.3,1
177.0187525,96.01742812,30.6,1
178.8249327,89.65630027,28,1
175.3101297,84.48435011,27.5,1
164.4200094,75.33155211,27.9,1
180.3351091,85.62892063,26.3,1
163.7279282,73.18765224,27.3,1
177.1637874,87.74433506,28,1
181.678196,85.84228848,26,0
173.5529063,94.2335259,31.3,1
179.7423892,90.39596113,28,1
181.4043861,95.17381252,28.9,1
176.2518042,81.71223256,26.3,1
182.8843998,88.98612902,26.6,1
175.7463464,85.9133063,27.8,1
168.0625627,75.06331401,26.6,1
170.8712432,82.71851914,28.3,1
180.1262219,85.96718254,26.5,1
175.564515,85.99814698,27.9,1
171.2189257,77.18427456,26.3,1
185.2641686,98.00338082,28.6,1
179.0469589,80.30284553,25,0
175.280979,88.91210376,28.9,1
169.5757592,76.0546468,26.4,1
175.5664859,81.45481637,26.4,1
185.7407187,100.0731996,29,1
171.4165327,74.51031351,25.4,0
164.985899,70.99536794,26.1,1
172.1675222,83.30205397,28.1,1
171.862493,77.23605147,26.1,1
168.8500484,76.47494961,26.8,1
185.3871583,95.07391134,27.7,1
176.69061,88.59230249,28.4,1
180.3490428,88.1281639,27.1,1
177.5857189,99.48658354,31.5,1
182.1107401,93.04387678,28.1,1
171.8308498,81.12591098,27.5,1
173.4707086,82.41493492,27.4,1
174.4656294,92.3176117,30.3,1
175.04606,74.90063433,24.4,0
175.1606344,89.76482068,29.3,1
170.8079774,78.58686304,26.9,1
175.0462936,83.42303351,27.2,1
167.229903,63.28074689,22.6,0
164.2645319,72.64786,26.9,1
168.3915802,74.19682639,26.2,1
170.4278678,87.96149995,30.3,1
170.1756559,86.11942971,29.7,1
180.2434061,83.54826848,25.7,0
173.7890154,86.52859057,28.6,1
171.8374201,85.35178204,28.9,1
192.0752906,102.5885623,27.8,1
179.1950747,89.74121229,27.9,1
174.9827308,86.40067433,28.2,1
173.4427111,79.93042331,26.6,1
165.0874988,80.60185692,29.6,1
166.5624597,78.77169714,28.4,1
176.0374641,95.44838435,30.8,1
166.8899772,77.14311261,27.7,1
172.2221372,78.6666176,26.5,1
175.8090142,83.87151488,27.1,1
172.7581153,88.11199361,29.5,1
157.2944503,67.64158041,27.3,1
170.8565613,87.28833088,29.9,1
171.8991275,81.51964082,27.6,1
177.7260952,92.00149342,29.1,1
165.8961923,74.0849576,26.9,1
182.6412538,98.42526739,29.5,1
168.2341163,83.06631859,29.3,1
167.1699548,75.54812268,27,1
185.0261676,93.08430349,27.2,1
180.2115864,86.03314685,26.5,1
181.2132714,99.13212535,30.2,1
180.481387,92.12672698,28.3,1
157.2908901,63.44901147,25.6,0
174.6566422,89.0221342,29.2,1
171.6632112,81.60408671,27.7,1
171.0987045,74.44259519,25.4,0
167.3330577,76.26977977,27.2,1
174.4846959,86.05103941,28.3,1
176.6185483,88.51264921,28.4,1
169.2521147,86.38002667,30.2,1
177.31715,92.71047542,29.5,1
174.4468792,88.95765206,29.2,1
181.902554,95.08878635,28.7,1
177.0120801,86.59111134,27.6,1
180.0887594,89.77089905,27.7,1
172.7347675,84.70763619,28.4,1
179.3639897,85.56182862,26.6,1
181.7908332,79.98940717,24.2,0
185.4526727,94.93400608,27.6,1
154.3002194,61.7541341,25.9,0
175.4685839,86.5919195,28.1,1
176.1203936,86.82342599,28,1
172.1031298,83.87221311,28.3,1
193.1087879,105.3575832,28.3,1
183.458145,91.50968435,27.2,1
175.059445,85.40988984,27.9,1
165.9507163,79.20893302,28.8,1
167.4683048,83.42101533,29.7,1
178.9853908,85.04192381,26.5,1
185.8798508,96.98297184,28.1,1
174.1192344,79.46463438,26.2,1
174.064697,76.89106821,25.4,0
161.5349968,65.57456798,25.1,0
170.5463727,79.67310213,27.4,1
179.8735814,89.43238168,27.6,1
186.7669234,101.100189,29,1
167.9983151,75.01339923,26.6,1
172.4833984,77.28672617,26,0
181.4407746,98.24671188,29.8,1
170.4662067,78.77891347,27.1,1
186.1411516,98.81906562,28.5,1
161.7283612,73.02183483,27.9,1
175.8323136,87.87134957,28.4,1
176.962115,80.32614998,25.7,0
179.0330384,92.89226744,29,1
175.2718818,80.15051814,26.1,1
173.8830508,87.42035633,28.9,1
167.7028238,75.71928367,26.9,1
176.0681496,84.68843333,27.3,1
175.457461,85.49033048,27.8,1
186.8481667,94.49500762,27.1,1
167.8627298,73.24073211,26,0
186.7560002,97.49045769,28,1
176.984813,93.03103651,29.7,1
169.359024,83.08267882,29,1
185.3226303,94.73698154,27.6,1
173.3470552,94.29731361,31.4,1
182.7698298,95.53915093,28.6,1
180.4889287,92.64074272,28.4,1
170.1214529,88.52550118,30.6,1
173.9341253,86.47892177,28.6,1
181.0624811,90.53756308,27.6,1
165.050359,75.65603052,27.8,1
169.575185,81.08730567,28.2,1
174.6660508,84.25041156,27.6,1
175.2410607,87.87074417,28.6,1
181.0897943,103.7644064,31.6,1
175.3856751,87.23342481,28.4,1
169.0153643,79.81110707,27.9,1
174.0294296,79.88264816,26.4,1
171.3476769,80.490941,27.4,1
181.2477513,91.50148612,27.9,1
174.2196313,80.20094327,26.4,1
177.1296602,84.13798658,26.8,1
177.377997,85.27937823,27.1,1
183.9228878,85.88863415,25.4,0
166.203876,75.32732154,27.3,1
168.3198482,77.2109654,27.3,1
177.7347242,96.50986803,30.6,1
180.8713533,88.9548781,27.2,1
177.6409965,91.73653955,29.1,1
181.3204964,91.30703261,27.8,1
164.0555054,71.8612673,26.7,1
174.7341804,79.13355388,25.9,0
173.8521967,83.34847288,27.6,1
175.7720084,85.30771252,27.6,1
176.342084,79.90631737,25.7,0
176.799812,88.07288522,28.2,1
185.1195357,88.07233964,25.7,0
157.9329613,66.16727546,26.5,1
174.9417548,86.9994146,28.4,1
180.5434122,95.17167964,29.2,1
183.3436367,91.27504054,27.2,1
183.0393976,94.6856478,28.3,1
171.145347,82.84508181,28.3,1
172.5539717,75.48075683,25.4,0
179.8369029,87.70682204,27.1,1
166.494768,80.92887968,29.2,1
178.2857102,93.39763751,29.4,1
182.3186482,90.34459973,27.2,1
173.0509326,87.08823882,29.1,1
173.6330857,79.48338522,26.4,1
167.8695068,77.10042862,27.4,1
181.8135128,93.12816154,28.2,1
186.783136,88.90852385,25.5,0
180.6334509,94.39694177,28.9,1
179.8175285,92.01394912,28.5,1
182.1918136,85.53062313,25.8,0
160.5191871,73.66427546,28.6,1
172.9768281,82.9262581,27.7,1
167.2744933,71.34578748,25.5,0
173.5999995,81.03219596,26.9,1
176.6829815,84.9058893,27.2,1
174.5698923,77.83263791,25.5,0
178.2020252,90.94520558,28.6,1
175.0652751,87.94891628,28.7,1
163.3224425,70.5168839,26.4,1
178.957308,87.31424263,27.3,1
174.3051205,72.49998522,23.9,0
176.9484694,79.93617887,25.5,0
175.4095667,77.87252893,25.3,0
170.756545,82.40799043,28.3,1
167.9341312,77.72637605,27.6,1
174.2881639,81.23901342,26.7,1
175.8924925,85.02012308,27.5,1
176.8904417,82.54173347,26.4,1
184.904452,97.26713628,28.4,1
190.6117475,94.56980816,26,0
180.2706177,86.26847751,26.5,1
188.9455516,98.47790952,27.6,1
163.4798962,70.78181338,26.5,1
181.1705827,93.59872612,28.5,1
170.6169421,80.7949122,27.8,1
188.9802466,103.7815854,29.1,1
162.2245192,79.12624168,30.1,1
174.9704191,74.47387873,24.3,0
183.2152552,96.21645156,28.7,1
173.7454645,93.4308117,31,1
165.3353472,75.93357506,27.8,1
175.843385,88.53453048,28.6,1
182.7473822,94.86416739,28.4,1
171.3559963,82.67632,28.2,1
176.0547879,86.2517673,27.8,1
161.8768624,72.71877728,27.8,1
154.1267362,58.63992009,24.7,0
179.4848406,88.71941909,27.5,1
171.6888391,84.69452014,28.7,1
189.60975,103.1748957,28.7,1
178.9863803,89.42745215,27.9,1
182.7377867,95.0368629,28.5,1
188.0254071,95.12892159,26.9,1
179.7868595,99.9713317,30.9,1
164.4072327,76.73829342,28.4,1
173.6928812,84.28372644,27.9,1
181.5318208,87.38843224,26.5,1
170.0389125,80.28394005,27.8,1
179.8243267,90.67908531,28,1
165.8427843,76.51260331,27.8,1
156.855185,56.02183356,22.8,0
158.7009051,72.67221687,28.9,1
172.2264269,89.37986893,30.1,1
176.5960255,73.45620753,23.6,0
184.1519218,91.45354009,27,1
179.0326486,88.33841193,27.6,1
169.3919294,73.72580803,25.7,0
181.0814707,79.73286517,24.3,0
182.3637887,94.95660327,28.6,1
185.5631144,92.72577397,26.9,1
174.8875201,95.63223773,31.3,1
167.7554274,76.79196562,27.3,1
187.9241896,101.2816803,28.7,1
175.8991094,87.504259,28.3,1
176.1252693,78.41487592,25.3,0
180.279713,86.88079528,26.7,1
161.4456452,71.25602925,27.3,1
177.2161834,82.90045093,26.4,1
165.578733,68.88296698,25.1,0
177.7465097,87.68303075,27.8,1
177.1665168,84.09431751,26.8,1
180.7754351,88.60875773,27.1,1
179.2528845,79.00085592,24.6,0
166.7537674,74.67111741,26.9,1
170.5315719,74.30612304,25.6,0
167.4319408,79.23807624,28.3,1
187.4180566,96.55354014,27.5,1
172.0526184,78.36474404,26.5,1
166.4819537,77.9956151,28.1,1
180.8833379,88.85415714,27.2,1
166.6045792,79.28133719,28.6,1
166.7955884,79.16864209,28.5,1
157.4107491,63.61802707,25.7,0
187.7058443,97.75950263,27.7,1
183.7491464,97.89489066,29,1
178.5917036,83.55730626,26.2,1
170.4735334,76.28216195,26.2,1
167.4685037,68.65515565,24.5,0
170.7584724,84.34020902,28.9,1
178.0904328,92.173121,29.1,1
190.0974093,101.5626623,28.1,1
163.8993487,67.33432467,25.1,0
177.9301869,93.96582644,29.7,1
182.4562487,93.05807791,28,1
185.0053188,94.97618336,27.7,1
186.186739,90.32513773,26.1,1
168.6387088,74.85923333,26.3,1
168.9485114,81.9775668,28.7,1
175.952944,91.74546948,29.6,1
173.309163,88.55419061,29.5,1
178.8512273,83.55222753,26.1,1
177.1062884,85.46655769,27.2,1
166.3972641,71.29479605,25.7,0
175.6086642,89.1393761,28.9,1
187.1121196,94.49713347,27,1
167.3675914,71.73922254,25.6,0
173.6202496,83.71810794,27.8,1
178.8788155,89.75397782,28.1,1
183.0837109,92.00328195,27.4,1
182.146257,90.28606757,27.2,1
166.9520711,70.8498678,25.4,0
162.301779,76.32632109,29,1
178.6026647,91.38806717,28.6,1
167.1033737,79.17681628,28.4,1
177.361759,89.31101678,28.4,1
173.5611212,89.68561011,29.8,1
172.0636367,75.12167043,25.4,0
190.5860792,105.6172867,29.1,1
186.4463086,87.40698626,25.1,0
176.6690952,87.15721937,27.9,1
163.929161,71.26044317,26.5,1
171.5687741,74.14748417,25.2,0
185.6650541,93.04198549,27,1
169.0471119,77.74539315,27.2,1
187.9386746,94.76851864,26.8,1
179.9912277,95.12884989,29.4,1
181.7845836,93.54215773,28.3,1
167.2295135,80.36811637,28.7,1
178.4998555,96.01644163,30.1,1
156.9047459,67.80718331,27.5,1
190.0553611,99.92578998,27.7,1
181.8770705,87.26889506,26.4,1
170.8406631,74.0981917,25.4,0
180.1474539,90.60243655,27.9,1
190.6515584,99.13092426,27.3,1
185.6762256,101.2274157,29.4,1
179.4814598,98.8443912,30.7,1
170.5474551,77.6452512,26.7,1
170.4928097,66.91063773,23,0
176.5933577,77.1143702,24.7,0
165.6707168,72.94153039,26.6,1
173.7625756,83.95815669,27.8,1
174.6591978,80.30992662,26.3,1
172.5596468,85.6617219,28.8,1
175.8640849,72.21990304,23.4,0
173.9029388,85.29672381,28.2,1
166.8635057,68.46286603,24.6,0
176.354735,78.15232707,25.1,0
167.9838942,75.44844385,26.7,1
180.0277023,84.50785687,26.1,1
167.5715851,85.10584086,30.3,1
164.9453532,74.32208549,27.3,1
173.6562524,89.31950404,29.6,1
176.5949003,86.0351015,27.6,1
168.7972294,85.70287859,30.1,1
176.4654377,80.42808059,25.8,0
174.5744507,83.50586485,27.4,1
187.4044372,100.3356444,28.6,1
194.3147837,98.81285551,26.2,1
180.9132829,90.33231882,27.6,1
163.8457745,74.60334086,27.8,1
168.9196899,74.04530127,25.9,0
175.7944491,85.09062145,27.5,1
161.4077791,68.18442562,26.2,1
177.1170662,91.93065868,29.3,1
174.2648495,82.41489184,27.1,1
181.5188908,93.6919985,28.4,1
176.5540995,92.51039252,29.7,1
187.3494748,105.037946,29.9,1
173.4255784,88.52151029,29.4,1
184.0347689,90.83446916,26.8,1
179.7537509,88.59549093,27.4,1
178.9484375,85.30559515,26.6,1
175.0164111,88.28107474,28.8,1
175.8656051,89.52929315,28.9,1
170.8857321,70.93711664,24.3,0
181.5179623,94.22609297,28.6,1
174.8552091,77.96877546,25.5,0
181.3711504,98.37790984,29.9,1
178.1679801,86.43327746,27.2,1
179.5264152,93.47838512,29,1
174.0944348,91.20584685,30.1,1
181.4442064,93.6934507,28.5,1
165.660884,72.10303224,26.3,1
179.7638046,94.43245628,29.2,1
177.1906408,85.17553828,27.1,1
162.4648279,76.34896,28.9,1
178.5725747,89.26759714,28,1
178.604797,93.20720444,29.2,1
171.209736,74.63691215,25.5,0
170.4886177,75.82382186,26.1,1
173.6790529,76.64277728,25.4,0
176.728727,83.54640281,26.7,1
158.8319233,76.26001188,30.2,1
176.1155267,83.50086862,26.9,1
169.6401669,78.0841117,27.1,1
191.4938823,99.14045229,27,1
178.3426179,86.01282259,27,1
180.6030516,89.23353116,27.4,1
177.2764752,82.41414658,26.2,1
168.8384849,79.54156544,27.9,1
179.6128338,94.65326014,29.3,1
161.5915419,73.77549896,28.3,1
179.1951705,86.76590059,27,1
171.2031656,87.37989832,29.8,1
181.4453442,96.75182463,29.4,1
174.2272491,84.98980993,28,1
181.4889094,92.26679048,28,1
179.5749265,86.16121488,26.7,1
181.3343198,89.48165923,27.2,1
179.0335337,87.69158594,27.4,1
188.9967972,102.8122553,28.8,1
161.037075,83.98555011,32.4,1
173.7352866,77.70027596,25.7,0
171.2718296,79.42148132,27.1,1
179.8624799,88.98916712,27.5,1
170.4600884,88.3230629,30.4,1
172.0296785,83.65916118,28.3,1
174.1191138,81.43165075,26.9,1
174.2934918,87.34949596,28.8,1
179.338633,89.49716426,27.8,1
170.4004243,74.45610014,25.6,0
165.8917388,75.8855795,27.6,1
177.6073327,84.29323551,26.7,1
173.6461726,87.97358168,29.2,1
180.0093045,93.36232857,28.8,1
193.071242,106.7745878,28.6,1
172.6335582,80.25701946,26.9,1
177.2033221,90.26141841,28.7,1
176.7044279,91.02224567,29.2,1
181.7624476,97.04244744,29.4,1
180.2334451,91.45729583,28.2,1
166.2199427,65.36599859,23.7,0
180.2793563,91.88353197,28.3,1
172.7018421,83.42770485,28,1
179.1170283,90.50722948,28.2,1
175.5373463,79.83918685,25.9,0
181.8781557,88.40479297,26.7,1
177.5194788,92.29856077,29.3,1
168.8005229,75.59394503,26.5,1
178.5400396,94.10818259,29.5,1
159.0547116,69.32107696,27.4,1
169.2190718,66.31782526,23.2,0
165.989732,71.09357692,25.8,0
181.8811193,95.22219646,28.8,1
176.3088027,83.40231764,26.8,1
177.5302865,91.06433311,28.9,1
166.7915347,74.47421279,26.8,1
163.5970141,70.13199166,26.2,1
174.31229,85.9180229,28.3,1
176.7847179,80.08838485,25.6,0
171.3312073,78.58150467,26.8,1
173.1517863,84.01501583,28,1
176.6661797,92.43133374,29.6,1
166.9981369,82.56312485,29.6,1
185.7308786,91.47563628,26.5,1
169.217152,80.65426544,28.2,1
175.6306088,91.89487351,29.8,1
167.5531194,84.45597764,30.1,1
170.6962967,84.10612571,28.9,1
166.2530512,79.74806576,28.9,1
185.4964338,95.05115669,27.6,1
173.525802,81.34732698,27,1
168.4890749,74.99695079,26.4,1
183.799438,89.91517927,26.6,1
172.0022658,83.86929896,28.3,1
179.0130819,90.81541778,28.3,1
180.7539988,90.45078866,27.7,1
176.1611401,91.76064204,29.6,1
178.0469836,91.60713288,28.9,1
176.0151209,89.50510689,28.9,1
160.807322,71.20342118,27.5,1
172.4335639,83.14890122,28,1
185.9355435,92.07397556,26.6,1
185.778534,87.94831483,25.5,0
